Tayal & Gupta 1999		// REFERENCE
transition (lower-upper)	// Column 1
Collision strenth at T 		// Columns 2-9
Collision strenghs (unitless)   // Data type
The first row is a header row. 
Temepratures in the first row in K
\begindata
5-28	3.00e-1	2.98e-1	2.94e-1	2.68e-1	2.50e-1	2.36e-1	2.37e-1	2.37e-1
5-29	2.79e-1	2.78e-1	2.72e-1	2.48e-1	2.34e-1	2.25e-1	2.13e-1	1.99e-1
5-30	3.39e-1	3.13e-1	3.00e-1	2.68e-1	2.53e-1	2.43e-1	2.30e-1	2.18e-1
5-31	2.69	2.67	2.69	2.87	3.10	3.32	3.73	4.44
5-32	9.70e-2	1.04e-1	1.05e-1	1.04e-1	9.69e-2	8.92e-2	7.63e-2	5.95e-2
5-33	4.43e-2	4.68e-2	4.77e-2	4.68e-2	4.23e-2	3.78e-2	3.07e-2	2.23e-2
5-34	7.43e-2	7.84e-2	8.01e-2	7.83e-2	7.06e-2	6.29e-2	5.11e-2	3.70e-2
5-35	1.05e-1	1.11e-1	1.13e-1	1.10e-1	9.89e-2	8.80e-2	7.11e-2	5.14e-2
5-36	2.03e-2	1.91e-2	1.83e-2	1.51e-2	1.26e-2	1.08e-2	8.39e-3	5.78e-3
5-37	6.09e-2	5.72e-2	5.48e-2	4.50e-2	3.77e-2	3.23e-2	2.50e-2	1.72e-2
5-38	1.02e-1	9.49e-2	9.07e-2	7.42e-2	6.22e-2	5.32e-2	4.11e-2	2.83e-2
5-39	1.11e-1	1.14e-1	1.13e-1	9.78e-2	8.33e-2	7.20e-2	5.65e-2	3.98e-2
5-40	2.09e-1	2.09e-1	2.10e-1	2.03e-1	1.89e-1	1.76e-1	1.58e-1	1.39e-1
5-41	3.71e-1	3.98e-1	4.05e-1	4.23e-1	4.19e-1	4.15e-1	4.11e-1	4.11e-1
5-42	3.98e-2	3.43e-2	3.09e-2	3.20e-2	2.90e-2	2.71e-2	2.48e-2	2.23e-2
5-43	2.25e-3	1.88e-3	1.66e-3	2.27e-3	2.17e-3	2.10e-3	2.00e-3	1.86e-3
5-44	3.75e-3	3.11e-3	2.75e-3	3.78e-3	3.61e-3	3.50e-3	3.34e-3	3.10e-3
5-45	5.23e-3	4.30e-3	3.80e-3	5.29e-3	5.05e-3	4.89e-3	4.67e-3	4.33e-3
5-46	1.67e-3	1.31e-3	1.13e-3	1.51e-3	1.41e-3	1.34e-3	1.26e-3	1.16e-3
5-47	5.05e-3	3.96e-3	3.44e-3	4.54e-3	4.23e-3	4.04e-3	3.79e-3	3.48e-3
5-48	8.50e-3	6.73e-3	5.85e-3	7.60e-3	7.07e-3	6.75e-3	6.33e-3	5.81e-3
5-49	0	0	0	9.68e-1	9.68e-1	9.68e-1	9.68e-1	9.69e-1
\enddata
